,name,location,x,y,geometry
531,Eni Station,"Via della Chiesa Rossa, 157",9.167563,45.4222135,POINT (9.167563 45.4222135)
542,A2A E-moving - Isola Digitale AC Charging Station,"Via Ferdinando Bocconi, 26",9.1907333,45.4478486,POINT (9.1907333 45.4478486)
545,Be Charge Charging Station,"Via Quadronno, 29",9.19498,45.45425,POINT (9.19498 45.45425)
549,ENI,"Via Giuseppe Ripamonti, 159",9.2010486,45.4358725,POINT (9.2010486 45.4358725)
554,Be Charge Stazione di Ricarica,"Via Orobia, 4",9.2055238,45.4438964,POINT (9.2055238 45.4438964)
555,Stazione di Ricarica per veicolo elettrico,"Via Arcivescovo Calabiana, 6",9.2084476,45.4441091,POINT (9.2084476 45.4441091)
560,Next Charge Charging Station,"Via Fratelli Bronzetti, 38",9.214613,45.4632409,POINT (9.214613 45.4632409)
562,A2A E-moving - Isola Digitale AC Charging Station,"Via Augusto Anfossi, 32",9.2144659,45.4590936,POINT (9.2144659 45.4590936)
566,Stazione di ricarica per veicolo elettrico,"Via Francesco Rezzonico, 4",9.2212686,45.4610084,POINT (9.2212686 45.4610084)
570,Enel X Stazione di Ricarica,"Via Fratelli Cervi, 1",9.2633662,45.5029236,POINT (9.2633662 45.5029236)
571,Powy Charging Station,   800 596 704   ,9.263228,45.497226,POINT (9.263228 45.497226)
572,Yess Energy Stazione di Ricarica,"Via Alessandro Volta, 4",9.2710687,45.4928898,POINT (9.2710687 45.4928898)
578,A2A Stazione di Ricarica,"Via Carlo Imbonati, 33",9.1827251,45.501062,POINT (9.1827251 45.501062)
579,Be Charge Charging Station,"Via Benigno Crespi, 57",9.183665,45.5036,POINT (9.183665 45.5036)
594,Eni Station,Via Francesco dall'Ongaro,9.2254336,45.4674039,POINT (9.2254336 45.4674039)
603,A2A Stazione di Ricarica,"Piazza Guglielmo Oberdan, 531",9.2042574,45.4748839,POINT (9.2042574 45.4748839)
604,Be Charge Charging Station,"Via Palestro, 16",9.2005,45.47265,POINT (9.2005 45.47265)
